Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
073240,6660.0,5818028.0,13775237.0,38748066480.0,91743078420.0,KOSPI,-8.64
103140,67900.0,177541.0,247773.0,12055033900.0,16823786700.0,KOSPI,-4.63
292150,35180.0,546203.0,546203.0,19215421540.0,19215421540.0,KOSPI,-6.37
214980,114655.0,65124.0,65124.0,7466792220.0,7466792220.0,KOSPI,0.03
018670,198000.0,47871.0,68212.0,9478458000.0,13505976000.0,KOSPI,-11.41
462870,31050.0,38656.0,64309.0,1200268800.0,1996794450.0,KOSPI,-1.74
000155,451500.0,12533.0,12533.0,5658649500.0,5658649500.0,KOSPI,2.73
439260,47300.0,75980.0,123789.0,3593854000.0,5855219700.0,KOSPI,-5.59
0193W0,10515.0,21315445.0,21315445.0,224131904175.0,224131904175.0,KOSPI,-16.65
336260,25950.0,1403166.0,2512331.0,36412157700.0,65194989450.0,KOSPI,5.7
071970,50000.0,294320.0,448211.0,14716000000.0,22410550000.0,KOSPI,1.11
294400,130515.0,121190.0,121190.0,15817112850.0,15817112850.0,KOSPI,-8.53
000120,73900.0,29880.0,37536.0,2208132000.0,2773910400.0,KOSPI,-0.81
395400,5600.0,132031.0,132031.0,739373600.0,739373600.0,KOSPI,2.19
441640,12870.0,753944.0,753944.0,9703259280.0,9703259280.0,KOSPI,0.35
442580,94035.0,758556.0,758556.0,71330813460.0,71330813460.0,KOSPI,-9.38
105190,99305.0,1012061.0,1012061.0,100502717605.0,100502717605.0,KOSPI,-6.32
477080,107210.0,2019.0,2019.0,216456990.0,216456990.0,KOSPI,0.0
457190,53600.0,100615.0,168799.0,5392964000.0,9047626400.0,KOSPI,2.29
008770,41250.0,795790.0,1004634.0,32826337500.0,41441152500.0,KOSPI,-5.28
011210,59500.0,87350.0,135249.0,5197325000.0,8047315500.0,KOSPI,2.23
112610,38350.0,356608.0,356608.0,13675916800.0,13675916800.0,KOSPI,2.82
023590,37200.0,38780.0,54210.0,1442616000.0,2016612000.0,KOSPI,1.5
475150,46550.0,4782131.0,4782131.0,222608198050.0,222608198050.0,KOSPI,2.42
0195S0,7860.0,35989328.0,35989328.0,282876118080.0,282876118080.0,KOSPI,-16.78
487230,20630.0,237452.0,237452.0,4898634760.0,4898634760.0,KOSPI,-0.17
006040,35150.0,40923.0,51047.0,1438443450.0,1794302050.0,KOSPI,-0.71
446770,75240.0,168407.0,168407.0,12670942680.0,12670942680.0,KOSPI,-5.26
475630,1073220.0,41450.0,41450.0,44484969000.0,44484969000.0,KOSPI,0.01
610063,55610.0,10.0,10.0,556100.0,556100.0,KOSPI,0.0
001800,25500.0,101634.0,122010.0,2591667000.0,3111255000.0,KOSPI,0.0
453850,7160.0,778600.0,778600.0,5574776000.0,5574776000.0,KOSPI,-0.69
379780,23335.0,291583.0,291583.0,6804089305.0,6804089305.0,KOSPI,0.89
368590,30080.0,223679.0,223679.0,6728264320.0,6728264320.0,KOSPI,0.42
329200,3995.0,2290139.0,2290139.0,9149105305.0,9149105305.0,KOSPI,-0.5
00680K,10910.0,189145.0,189145.0,2063571950.0,2063571950.0,KOSPI,-0.27
120110,48650.0,147598.0,187272.0,7180642700.0,9110782800.0,KOSPI,1.25
020560,7050.0,61444.0,98054.0,433180200.0,691280700.0,KOSPI,1.29
020150,27600.0,114708.0,165502.0,3165940800.0,4567855200.0,KOSPI,0.91
466920,27365.0,615245.0,615245.0,16836179425.0,16836179425.0,KOSPI,-2.86
001740,7060.0,873049.0,873049.0,6163725940.0,6163725940.0,KOSPI,-3.55
089860,38950.0,81151.0,113990.0,3160831450.0,4439910500.0,KOSPI,-1.02
0177N0,13505.0,4618956.0,4618956.0,62379000780.0,62379000780.0,KOSPI,-5.82
097230,15540.0,271664.0,271664.0,4221658560.0,4221658560.0,KOSPI,-1.02
305720,12305.0,2971256.0,2971256.0,36561305080.0,36561305080.0,KOSPI,-3.75
281820,68900.0,145467.0,304150.0,10022676300.0,20955935000.0,KOSPI,-1.29
298020,314000.0,30369.0,47138.0,9535866000.0,14801332000.0,KOSPI,1.95
152100,100455.0,553651.0,553651.0,55617011205.0,55617011205.0,KOSPI,-8.45
322000,119600.0,287929.0,287929.0,34436308400.0,34436308400.0,KOSPI,6.69
315930,76210.0,24218.0,24218.0,1845653780.0,1845653780.0,KOSPI,-6.61
006280,113300.0,57670.0,73721.0,6534011000.0,8352589300.0,KOSPI,-2.24
294870,20050.0,154200.0,176728.0,3091710000.0,3543396400.0,KOSPI,1.01
069620,114000.0,45007.0,67956.0,5130798000.0,7746984000.0,KOSPI,0.18
436140,106230.0,2144.0,2144.0,227757120.0,227757120.0,KOSPI,-0.22
415640,10650.0,75467.0,75467.0,803723550.0,803723550.0,KOSPI,0.57
001120,33550.0,328387.0,466819.0,11017383850.0,15661777450.0,KOSPI,-10.29
007310,320500.0,5663.0,6371.0,1814991500.0,2041905500.0,KOSPI,-0.93
082640,8200.0,40807.0,40807.0,334617400.0,334617400.0,KOSPI,-1.56
192080,60400.0,35878.0,43203.0,2167031200.0,2609461200.0,KOSPI,0.5
390390,53220.0,1135912.0,1135912.0,60453236640.0,60453236640.0,KOSPI,-1.53
157450,112310.0,21216.0,21216.0,2382768960.0,2382768960.0,KOSPI,0.0
001430,35100.0,129227.0,158923.0,4535867700.0,5578197300.0,KOSPI,5.41
091230,118485.0,482489.0,482489.0,57167709165.0,57167709165.0,KOSPI,-6.92
229640,40700.0,60283.0,103950.0,2453518100.0,4230765000.0,KOSPI,0.87
448330,16780.0,792026.0,792026.0,13290196280.0,13290196280.0,KOSPI,-3.01
003540,25850.0,63352.0,79793.0,1637649200.0,2062649050.0,KOSPI,0.0
009155,420500.0,100867.0,100867.0,42414573500.0,42414573500.0,KOSPI,1.08
438080,14385.0,618856.0,618856.0,8902243560.0,8902243560.0,KOSPI,0.59
181710,37150.0,36244.0,42994.0,1346464600.0,1597227100.0,KOSPI,0.13
012630,19720.0,36291.0,50299.0,715658520.0,991896280.0,KOSPI,-1.2
232080,12705.0,3468381.0,3468381.0,44065780605.0,44065780605.0,KOSPI,3.42
000815,386500.0,15345.0,15345.0,5930842500.0,5930842500.0,KOSPI,0.91
0072R0,12335.0,235105.0,235105.0,2900020175.0,2900020175.0,KOSPI,-0.92
497570,21675.0,542015.0,542015.0,11748175125.0,11748175125.0,KOSPI,-1.45
004000,43700.0,52455.0,79889.0,2292283500.0,3491149300.0,KOSPI,-2.13
479080,53610.0,33060.0,33060.0,1772346600.0,1772346600.0,KOSPI,0.0
007810,45950.0,312947.0,510321.0,14379914650.0,23449249950.0,KOSPI,-1.08
017960,21300.0,178089.0,318070.0,3793295700.0,6774891000.0,KOSPI,-0.23
361610,13380.0,183392.0,274671.0,2453784960.0,3675097980.0,KOSPI,0.9
030610,9490.0,37588.0,54123.0,356710120.0,513627270.0,KOSPI,-1.15
005070,32350.0,94652.0,157579.0,3061992200.0,5097680650.0,KOSPI,-0.31
451540,52835.0,3285.0,3285.0,173562975.0,173562975.0,KOSPI,-0.17
000080,15220.0,115795.0,152519.0,1762399900.0,2321339180.0,KOSPI,-1.17
494890,28650.0,545710.0,545710.0,15634591500.0,15634591500.0,KOSPI,-5.86
330590,3615.0,101584.0,101584.0,367226160.0,367226160.0,KOSPI,0.0
479520,106115.0,3435.0,3435.0,364505025.0,364505025.0,KOSPI,0.0
006340,13110.0,8910646.0,8910646.0,116818569060.0,116818569060.0,KOSPI,0.85
356540,101240.0,728.0,728.0,73702720.0,73702720.0,KOSPI,-0.21
446720,13915.0,339024.0,339024.0,4717518960.0,4717518960.0,KOSPI,0.22
093370,9520.0,7504523.0,7504523.0,71443058960.0,71443058960.0,KOSPI,5.78
469830,54225.0,218476.0,218476.0,11846861100.0,11846861100.0,KOSPI,0.01
003570,30600.0,29482.0,40036.0,902149200.0,1225101600.0,KOSPI,-0.65
445290,28950.0,848018.0,848018.0,24550121100.0,24550121100.0,KOSPI,1.58
300720,13810.0,75334.0,103300.0,1040362540.0,1426573000.0,KOSPI,-0.65
465580,24280.0,290562.0,290562.0,7054845360.0,7054845360.0,KOSPI,2.6
066575,58000.0,46066.0,46066.0,2671828000.0,2671828000.0,KOSPI,-1.86
0183J0,6785.0,1516450.0,1516450.0,10289113250.0,10289113250.0,KOSPI,-1.67
226490,64095.0,272626.0,272626.0,17473963470.0,17473963470.0,KOSPI,-5.53
